discrepancy_id,source_record_ids,person,office,government,affected_interval,existing_assignment,appointment_time_assignment,proposed_contemporaneous_treatment,assertion_ids,problem_type,composition_effect,composition_effect_explanation,uncertainty,whole_cabinet_set_certified,coverage_start,observation_cutoff,related_occupancy_assertion
AFF-D11,jair_bolsonaro:0:1|jair_bolsonaro:0:55|jair_bolsonaro:0:37,Onyx Lorenzoni,Casa Civil|Ministério da Cidadania|Secretaria-Geral da Presidência da República; Trabalho e Previdência (omitted source jair_bolsonaro:0:6; see OCC-011),bolsonaro,2019-01-01 to actual 2022 departure,jair_bolsonaro:0:1=DEM; jair_bolsonaro:0:55=DEM; jair_bolsonaro:0:37=DEM,jair_bolsonaro:0:1=PARTY:DEM; jair_bolsonaro:0:55=PARTY:DEM; jair_bolsonaro:0:37=PARTY:DEM,Across portfolios DEM until União merger 2022-02-08; PL from 2022-03-10. Reappointment does not reset party history.,AFF-027|AFF-044,party_identity;temporal_rule,possible,Other DEM/União witnesses include Tereza Cristina and Pontes. Personal switch need not create an aggregate boundary.,none_on_reported_event_day;continuity_requires_review,false,2015-01-01,2026-03-19,OCC-011
AFF-D12,jair_bolsonaro:0:56,João Roma,Ministério da Cidadania,bolsonaro,2021-02-12 to actual 2022 departure,jair_bolsonaro:0:56=Republicanos,jair_bolsonaro:0:56=PARTY:Republicanos,"Republicanos until PL switch March 27, 2022.",AFF-012,factual_affiliation;temporal_rule,possible,"Potential one-day Republicanos gap before Damares/Tarcísio March 28; needs exact effective dates and all-witness audit, not both-inclusive endpoints.",none_on_reported_event_day;continuity_requires_review,false,2015-01-01,2026-03-19,
AFF-D13,jair_bolsonaro:0:15,Tereza Cristina,"Ministério da Agricultura, Pecuária e Abastecimento",bolsonaro,2019-01-01 to actual 2022 departure,jair_bolsonaro:0:15=DEM,jair_bolsonaro:0:15=PARTY:DEM,"DEM until União merger; PP registration during March 2022, exact day unresolved. March 20 is only an announced ceremony.",AFF-028|AFF-029|AFF-030|AFF-044,party_identity;date_semantics;missing_evidence,possible,"Pontes/Onyx may preserve União during some alternatives; if she is last remaining witness, unknown date creates possible boundary.",bounded_transition_day_in_March;conflicting_event_tense,false,2015-01-01,2026-03-19,
AFF-D14,jair_bolsonaro:0:2|jair_bolsonaro:0:19,Walter Braga Netto,Casa Civil|Ministério da Defesa,bolsonaro,2020-02-18 to actual 2022 departure,jair_bolsonaro:0:2=UNAFFILIATED (no_party_code); jair_bolsonaro:0:19=PL,jair_bolsonaro:0:2=UNAFFILIATED:; jair_bolsonaro:0:19=UNAFFILIATED:,"No party across first two entry events; PL from private March 28, 2022 signing reported April 14.",AFF-031,factual_affiliation;temporal_rule,possible,"PL likely already represented by Marinho, Onyx and others by March 28; verify their overlapping qualifying service before claiming aggregate invariance.",none_on_reported_event_day;continuity_requires_review,false,2015-01-01,2026-03-19,
AFF-D15,jair_bolsonaro:0:59,Gilson Machado Neto,Ministério do Turismo,bolsonaro,2020-12-09 to actual 2022 departure,jair_bolsonaro:0:59=PSC (2020-12-09..2022-03-29); PL (2022-03-30),jair_bolsonaro:0:59=PARTY:PSC,"PSC to PL on March 30, 2022 evening; preserve event even if no daily display under sampling convention.",AFF-032,factual_affiliation;date_semantics,possible,Potential last PSC departure; exact overlap of nighttime joining and effective end of service matters.,within_day_order_not_fully_documented;office_endpoint_semantics_pending,false,2015-01-01,2026-03-19,
AFF-D16,michel_temer:0:8,Alexandre Baldy,Cidades,temer,2017-11-22 to actual 2018 departure,michel_temer:0:8=PP,michel_temer:0:8=UNAFFILIATED:,"No party at entry, PP from March 14, 2018.",AFF-002,factual_affiliation;temporal_rule,possible,"PP already has Blairo Maggi and Ricardo Barros in starting inventory, but Baldy can sustain it after their departures. All witnesses must be retained.",none_on_reported_event_day;continuity_requires_review,false,2015-01-01,2026-03-19,
AFF-D17,michel_temer:0:30,Henrique Meirelles,Fazenda e Previdência Social,temer,2016-05-12 to actual 2018 departure,michel_temer:0:30=MDB,michel_temer:0:30=PARTY:PSD,"PSD until April 3, 2018 then PMDB/MDB organization.",AFF-003|AFF-045,factual_affiliation;temporal_rule,possible,Conditional aggregate-invariant with Gilberto Kassab as another PSD witness and Eliseu Padilha as another PMDB witness; complete service and party spans require verification.,none_on_reported_event_day;continuity_requires_review,false,2015-01-01,2026-03-19,
AFF-D18,michel_temer:0:22|michel_temer:0:67,Raul Jungmann,Defesa|Segurança Pública,temer,2016-05-12 to actual 2018 departure,michel_temer:0:22=PPS; michel_temer:0:67=PPS,michel_temer:0:22=PARTY:PPS; michel_temer:0:67=PARTY:PPS,"PPS until March 21, 2018 then no-party continuity; portfolio replacement February 27 does not reset history.",AFF-004,factual_affiliation;temporal_rule,possible,"Likely last PPS witness after Roberto Freire left Culture in 2017; March 21 can be true cabinet-party exit, subject to complete office census.",none_on_reported_event_day;continuity_requires_review,false,2015-01-01,2026-03-19,
AFF-D19,michel_temer:0:34,Alexandre de Moraes,Justiça,temer,2016-05-12 to actual 2017 departure,michel_temer:0:34=PSDB,michel_temer:0:34=PARTY:PSDB,"PSDB ends February 7, 2017 even while titular minister on leave.",AFF-005,factual_affiliation;temporal_rule,possible,"Conditional aggregate-invariant with José Serra and Bruno Araújo as other PSDB witnesses in February 2017, subject to verified overlapping service; do not count acting substitute simultaneously by default.",none_on_reported_event_day;continuity_requires_review,false,2015-01-01,2026-03-19,
AFF-D20,michel_temer:0:2,Grace Mendonça,Advocacia-Geral da União,temer,2016-09-09 to actual 2018 departure,michel_temer:0:2=PSDB,michel_temer:0:2=PARTY:PSDB,"PSDB certificate supports entry; September 21 planned withdrawal is unresolved completion, not automatic event.",AFF-006,factual_affiliation;temporal_rule,possible,"Other PSDB ministers may make PSDB/no-party alternatives composition-invariant, but unspecified future affiliation cannot be assumed absent.",unresolved_event_occurrence_and_date;possibilities_not_exhaustively_specified,false,2015-01-01,2026-03-19,
AFF-D21,dilma_rousseff:1:43,George Hilton,Ministério do Esporte,dilma_2,2015-01-01 to actual 2016 departure,dilma_rousseff:1:43=Republicanos,dilma_rousseff:1:43=PARTY:PRB,"PRB until March 18, 2016 then PROS. Republicanos is later alias of PRB, not valid contemporaneous display.",AFF-001|AFF-047,factual_affiliation;temporal_rule,possible,Possible last PRB departure and PROS re-entry after Cid Gomes left Education. Inventory/office completeness required for certified set.,none_on_reported_event_day;continuity_requires_review,false,2015-01-01,2026-03-19,
AFF-D22,dilma_rousseff:1:39,Cid Gomes,Ministério da Educação,dilma_2,2015-01-01 to 2015-03-18 source endpoint,dilma_rousseff:1:39=PDT,dilma_rousseff:1:39=PARTY:PROS,PROS entry evidence remains useful; later PDT must not be back-projected. In-tenure contradiction search not completed.,,factual_affiliation;missing_temporal_extension,possible,Later Hilton PROS entry makes retaining separate historical witnesses necessary.,entry_evidence_only_for_Cid;no_new_source_for_later_PDT_event,false,2015-01-01,2026-03-19,
AFF-D23,lula_2023_presente:2:23,Anielle Franco,Igualdade Racial,lula_3,2023-01-01 to observation cutoff,lula_2023_presente:2:23=PT,lula_2023_presente:2:23=UNAFFILIATED:,"No party to PT on April 2, 2024; later entry-only no-party assignment wrong after switch.",AFF-033,factual_affiliation;temporal_rule,possible,"Conditional aggregate invariant because Fernando Haddad, Luiz Marinho and other PT ministers already represent PT; their complete service/affiliation spells still need certification.",none_on_reported_event_day;continuity_requires_review,false,2015-01-01,2026-03-19,
AFF-D24,lula_2023_presente:2:46,Celso Sabino,Turismo,lula_3,actual 2023 entry to actual 2025 departure,lula_2023_presente:2:46=UNIÃO,lula_2023_presente:2:46=PARTY:UNIÃO,"União until expulsion/cancellation December 8, 2025; no-party continuity afterwards. October internal suspension is not cancellation.",AFF-034|AFF-035|AFF-036,factual_affiliation;temporal_rule,possible,Potential last União witness after Juscelino Filho left in April 2025. Frederico Siqueira is documented unaffiliated at entry; Waldez sponsor attribution does not supply União. Exact period cannot be certified here.,none_on_reported_event_day;continuity_requires_review,false,2015-01-01,2026-03-19,
AFF-D25,lula_2023_presente:2:19,André Fufuca,Esporte,lula_3,actual 2023 entry to observation cutoff,lula_2023_presente:2:19=PP,lula_2023_presente:2:19=PARTY:PP,PP membership persists across loss of internal posts unless later cancellation evidence is found.,AFF-037,factual_affiliation;temporal_rule,possible,Removing PP solely for party government-withdrawal demands would confuse party representation with negotiated government support.,persistence_after_internal_sanction;later_change_search_bounded_not_exhaustive,false,2015-01-01,2026-03-19,
AFF-D26,lula_2023_presente:2:24,Waldez Góes,Integração e Desenvolvimento Regional,lula_3,2023-01-01 to observation cutoff,lula_2023_presente:2:24=PDT,lula_2023_presente:2:24=PARTY:PDT,PDT entry; determine whether licença affects formal affiliation. Do not code União from sponsorship.,AFF-038,factual_affiliation;temporal_rule,possible,PDT may already have Carlos Lupi or successor Wolney Queiroz in Previdência; exact succession and affiliation continuity needed.,party_leave_legal_effect_unresolved,false,2015-01-01,2026-03-19,
AFF-D27,lula_2023_presente:2:45,Daniela Carneiro,Turismo,lula_3,2023-01-01 to actual 2023 departure,lula_2023_presente:2:45=UNIÃO,lula_2023_presente:2:45=PARTY:UNIÃO,União persists provisionally while withdrawal request pending; no Republicanos switch inferred from spouse.,AFF-039|AFF-040,factual_affiliation;temporal_rule,possible,"Juscelino Filho is another União witness, so some alternatives may be aggregate-invariant; full finite alternatives and date proof still required.",effective_withdrawal_not_found;pending_request_not_event,false,2015-01-01,2026-03-19,
AFF-D28,michel_temer:0:65,Marx Beltrão,Turismo,temer,2016-10-05 to actual 2018 departure,michel_temer:0:65=MDB,michel_temer:0:65=PARTY:PMDB,PMDB entry; PSD reported after departure without exact effective registration. Do not silently backdate to an announced plan.,AFF-041,factual_affiliation;temporal_rule,possible,"Both PMDB and PSD likely have other witnesses during possible short overlap, but actual transition/office end still factual requirements.",possible_transition_near_office_end,false,2015-01-01,2026-03-19,
AFF-D29,jair_bolsonaro:0:28,Marcelo Queiroga,Ministério da Saúde,bolsonaro,2021-03-23 to actual 2022 departure,jair_bolsonaro:0:28=UNAFFILIATED (no_party_code),jair_bolsonaro:0:28=UNAFFILIATED:,"No party at entry after January 2021 Republicanos departure; PL joining June 14, 2023 is after service.",AFF-042|AFF-043,factual_affiliation;temporal_rule,possible,No PL witness during cabinet tenure arises from later joining; current labels cannot be back-projected.,persistence_requires_in_tenure_change_search,false,2015-01-01,2026-03-19,
AFF-D30,jair_bolsonaro:0:62,Adolfo Sachsida,Ministério de Minas e Energia,bolsonaro,2022-05-11 to actual 2022 departure,jair_bolsonaro:0:62=UNAFFILIATED (no_party_code),jair_bolsonaro:0:62=UNRESOLVED:,Unresolved. A 2017 DEM label does not alone establish continuous membership through União merger and cabinet entry; blank is not unaffiliated.,AFF-044,missing_evidence;party_identity,possible,"Possible União witness if continuous formal affiliation is established, but alternatives are unspecified now; cannot assert post-March União absence.",unspecified_affiliation;historical_positive_observation_not_temporally_extended,false,2015-01-01,2026-03-19,
AFF-D31,,,,all,2015-01-01 through 2026-03-19,Legacy aliases/election-year harmonization; see root code audit,Often origin party frozen,"Replace predecessor identities prospectively from February 8, 2022 for persons whose membership continuity is documented.",AFF-044,party_identity,possible,DEM|PSL|UNIÃO,personal_continuity_must_be_established,false,2015-01-01,2026-03-19,
AFF-D32,,,,all,2015-01-01 through 2026-03-19,Legacy aliases/election-year harmonization; see root code audit,Often origin party frozen,One stable identity per rename; no substantive party entry/exit due to label changes.,AFF-045|AFF-046|AFF-047|AFF-048,party_identity,no,PMDB|MDB;PR|PL;PRB|Republicanos;PTN|Podemos;PPS|Cidadania;PP,PR/PL_effective_alias_date_conflict,false,2015-01-01,2026-03-19,
AFF-D33,,,,all,2015-01-01 through 2026-03-19,Legacy aliases/election-year harmonization; see root code audit,Often origin party frozen,Dated incorporation/merger links only; no successor back-projection or automatic affiliation of former members.,AFF-049|AFF-050|AFF-051|AFF-052,party_identity,unknown,PRP|Patriota;PPL|PCdoB;PHS|Podemos;PROS|Solidariedade;PSC|Podemos;PTB|Patriota|PRD,need_personal_membership_and_actual_effect_dates,false,2015-01-01,2026-03-19,
AFF-D34,,,,all,2015-01-01 through 2026-03-19,Legacy aliases/election-year harmonization; see root code audit,Often origin party frozen,Keep member party identities; electoral combination is consumer responsibility.,AFF-053,party_identity,no,Federations and electoral alliances,no_party_merger_implied,false,2015-01-01,2026-03-19,
