assertion_id,entity,fact_asserted,relevant_date_or_interval,source_url,document_identifier,publisher,publication_date,retrieval_date,locator,supporting_paraphrase,support_type,conflicting_evidence,proposed_resolution,access_status
OFF-015,Edson Duarte,"Official MMA gallery lists Edson Duarte as minister April2018 to January2019. The source blank office cell caused omission, not lawful exclusion.",2018-04/2019-01,https://www.gov.br/mma/pt-br/acesso-a-informacao/institucional-quem-e-quem/1-1-estrutura-organizacional-organograma/galeria-de-ministros,,Ministério do Meio Ambiente,,2026-09-10,EDSON DUARTE entry,"Official MMA gallery lists Edson Duarte as minister April2018 to January2019. The source blank office cell caused omission, not lawful exclusion.",direct,,Add vacancy acting/titular history; exact first/last day remains documentary task.,opened_or_indexed_primary_source
OFF-016,Edson Duarte capacity,"MMA explicitly calls Duarte substitute minister in April24 official activity account, during vacancy after Sarney Filho departure.",2018-04-24,https://antigo.mma.gov.br/informma/item/14741-noticia-acom-2018-04-2968.html,,Ministério do Meio Ambiente,2018-04-24,2026-09-10,Opening paragraph,"MMA explicitly calls Duarte substitute minister in April24 official activity account, during vacancy after Sarney Filho departure.",direct,,Count vacancy acting officeholder under primary rule; do not exclude all substitute titles.,opened_or_indexed_primary_source
OFF-017,Edson Duarte affiliation,Contemporaneous report says Edson Duarte is affiliated with PV and assumed ministry in April.,2018-11-21,https://www.correiobraziliense.com.br/app/noticia/cidades/2018/11/21/interna_cidadesdf%2C720566/ibaneis-anuncia-mais-quatro-secretarios-para-o-novo-governo.shtml,,Correio Braziliense,2018-11-21,2026-09-10,Paragraph on Ibram appointment,Contemporaneous report says Edson Duarte is affiliated with PV and assumed ministry in April.,direct,,Direct party witness at report date; earlier2018 affiliation extension needs entry evidence/persistence search.,opened_or_indexed_primary_source
OFF-018,Marcos Jorge,January3 report says executive secretary assumes MDIC after Marcos Pereira resignation; source January4 start requires effective-service reconciliation.,2018-01-03,https://exame.com/brasil/secretario-executivo-vai-comandar-mdic-ate-definicao-de-temer,,Exame/Agência Brasil,2018-01-03,2026-09-10,Headline/departure and interim replacement paragraphs,January3 report says executive secretary assumes MDIC after Marcos Pereira resignation; source January4 start requires effective-service reconciliation.,direct,,"Retain vacancy acting beginning, separately date later titular conversion if any.",opened_or_indexed_primary_source
OFF-019,BCB qualifying status2019,BCB president explicitly holds Minister of State status pending autonomy.,2019-01-01/2021-02-25,https://www.planalto.gov.br/ccivil_03/_ato2019-2022/2019/lei/l13844.htm,Lei13.844/2019,Presidência da República,2019-06-18,2026-09-10,Art20VII; antecedent MP870/2019,BCB president explicitly holds Minister of State status pending autonomy.,direct,,,opened_or_indexed_primary_source
OFF-020,BCB status exit,"LC179 transforms Minister of State President of BCB into Natureza Especial president and repeals ministry-status clause, effective publication2021-02-25.",2021-02-25,https://www.planalto.gov.br/ccivil_03/leis/lcp/lcp179.htm,LC179/2021,Presidência da República,2021-02-25,2026-09-10,"Arts9,13I,14; footer","LC179 transforms Minister of State President of BCB into Natureza Especial president and repeals ministry-status clause, effective publication2021-02-25.",direct,,Included before2021-02-25; excluded onward even though same person continues.,opened_or_indexed_primary_source
OFF-021,Tombini; Ilan; Campos Neto,Official gallery: Tombini2011-01-01 to2016-06-09; Ilan2016-06-09 to2019-02-28; Campos Neto2019-02-28 onward. Gallery explicitly uses decree-publication dates and excludes vacation/travel substitutes.,2015-01-01/2021-02-25,https://bcb.gov.br/acessoinformacao/galeriaexpresidentes,,Banco Central do Brasil,,2026-09-10,Method note and three president entries,Official gallery: Tombini2011-01-01 to2016-06-09; Ilan2016-06-09 to2019-02-28; Campos Neto2019-02-28 onward. Gallery explicitly uses decree-publication dates and excludes vacation/travel substitutes.,direct,,Recover missing Tombini carryover into Temer and Ilan into2019; confirm exact first service independently where needed.,opened_or_indexed_primary_source
OFF-022,Campos Neto entry,Campos Neto took office in private ceremony February28; later public transmission ceremony was separate.,2019-02-28,https://noticias.uol.com.br/ultimas-noticias/agencia-brasil/2019/02/28/campos-neto-toma-posse-como-presidente-do-banco-central.htm,,Agência Brasil/UOL,2019-02-28,2026-09-10,First two paragraphs,Campos Neto took office in private ceremony February28; later public transmission ceremony was separate.,direct,,UseFebruary28 service; no March13 ceremony override.,opened_or_indexed_primary_source
OFF-023,Bolsonaro Labor/Previdência,"MP1058 creates ministry and Minister of State cargo; legal effective creation is publication2021-07-28, not2019 source date.",2021-07-28/2023-01-01,https://www.planalto.gov.br/ccivil_03/_ato2019-2022/2021/mpv/mpv1058.htm,MP1058/2021; converted Lei14.261/2021,Presidência da República,2021-07-28,2026-09-10,"Arts2,3,5; footer and commencement clause","MP1058 creates ministry and Minister of State cargo; legal effective creation is publication2021-07-28, not2019 source date.",direct,,,opened_or_indexed_primary_source
OFF-024,Onyx Labor entry,Official Câmara leave begins2021-07-28 to assume Labor/Previdência ministry.,2021-07-28,https://www.camara.leg.br/deputados/74399/biografia,,Câmara dos Deputados,,2026-09-10,Renúncias e Licenças;2021Labor/Previdência,Official Câmara leave begins2021-07-28 to assume Labor/Previdência ministry.,direct,,"Omitted Labor spell should beginJuly28, not pinned2019-01-01; formal possession corroboration desirable.",opened_or_indexed_primary_source
OFF-025,José Carlos Oliveira Labor entry,DOU decree publishedMarch31 appoints Oliveira to Labor/Previdência. Contemporary ceremony account says he signed term that morning.,2022-03-31,https://sintse.tse.jus.br/documentos/2022/Mar/31/para-conhecimento-institucional/decretos-de-30-de-marco-de-2022-exonera-a-pedido-tarcisio-gomes-de-freitas-do-cargo-de-ministro-de-e,Decretos30.03.2022; DOU62 Seção2,Imprensa Nacional via TSE,2022-03-31,2026-09-10,Nomeação José Carlos Oliveira,DOU decree publishedMarch31 appoints Oliveira to Labor/Previdência. Contemporary ceremony account says he signed term that morning.,direct,,,opened_or_indexed_primary_source
OFF-026,Flávia Arruda,Official Cámara biography gives parliamentary leave from2021-03-31 to assume Segov.,2021-03-31,https://www.camara.leg.br/deputados/204354/biografia,,Câmara dos Deputados,,2026-09-10,Renúncias e Licenças,Official Cámara biography gives parliamentary leave from2021-03-31 to assume Segov.,direct,Pinned2021-03-20; public ceremonyApril6.,ProposeMarch31 effective service with official management-period corroboration; do not useMarch20 or ceremonyApril6.,opened_or_indexed_primary_source
OFF-027,Flávia; Ramos; Ciro,Official responsibility roster separates appointment-act date and management period: Flávia decreeMarch30/managementMarch31; Ramos CasaCivil managementApril1; Ramos SGJuly28. Ciro row has apparently inconsistent March30 appointment date.,2021-03/2021-07,https://www.gov.br/secretariageral/pt-br/acesso-a-informacao/transparencia-e-prestacao-de-contas-pr/2021/rol-de-responsaveis-30jul2021_primeiro-envio-da-digep.pdf,Rol de responsáveis posição julho2021,Secretaria-Geral/Presidência,2021-07-30,2026-09-10,PDFpp1-2; ATO DE NOMEACAO vs PERIODO DA GESTAO columns,Official responsibility roster separates appointment-act date and management period: Flávia decreeMarch30/managementMarch31; Ramos CasaCivil managementApril1; Ramos SGJuly28. Ciro row has apparently inconsistent March30 appointment date.,direct,,Use specific management evidence cautiously; contradiction proves even official roster is not an unquestioned global override.,PDF text indexed; screenshot request failed
OFF-028,Flávia ceremony,Official Segov account dates public possession ceremony2021-04-06.,2021-04-06,https://www.gov.br/sri/pt-br/backup-secretaria-de-governo/assuntos/noticias/ultimas-noticias-1/ministra-flavia-arruda-toma-posse-na-secretaria-de-governo-da-presidencia-da-republica/,,Secretaria de Governo,2021-04-06,2026-09-10,First paragraph,Official Segov account dates public possession ceremony2021-04-06.,direct,,Preserve ceremony separately fromMarch31 service record.,opened_or_indexed_primary_source
OFF-029,Decotelli,Prior audit official DOU lead renders June25 appointment ineffective; contemporary reporting says he never assumed office.,2020-06-25/2020-07-01,https://pesquisa.in.gov.br/imprensa/servlet/INPDFViewer?captchafield=firstAccess&data=01%2F07%2F2020&jornal=529&pagina=1,DOU01.07.2020 Seção2p1,Imprensa Nacional,2020-07-01,2026-09-10,Seção2p1; prior preserved diagnostic deferred Bolsonaro,Prior audit official DOU lead renders June25 appointment ineffective; contemporary reporting says he never assumed office.,reused_prior_documentary_finding,,No officeholding spell; retain appointment and cancellation events; replace occupancy gap only with evidenced actor.,Current web retrieval failed; prior research preserved
OFF-030,Vogel,Presidential agenda reported July8 includes Vogel as acting Education minister; source malformed multiple dates must not cause complete disappearance.,2020-07-08,https://www2.senado.leg.br/bdsf/bitstream/handle/id/575327/noticia.html?isAllowed=y&sequence=1,,Correio Braziliense archived by Senado,2020-07-08,2026-09-10,Paragraph of presidential virtual meetings,Presidential agenda reported July8 includes Vogel as acting Education minister; source malformed multiple dates must not cause complete disappearance.,direct,,Document acting spell through vacancy; exact start and end unresolved; no assumption Decotelli interrupts service.,opened_or_indexed_primary_source
OFF-031,Transition statutory distinction,"President may appoint transition coordinator Minister Extraordinário only if federal legislator; this is a separate option from CETG-VII, which then cannot be filled.",2018-11/2022-12,https://www.planalto.gov.br/ccivil_03/leis/2002/l10609.htm,Lei10.609/2002,Congresso Nacional/Presidência,2002-12-23,2026-09-10,Art2§§4-5;Art4,"President may appoint transition coordinator Minister Extraordinário only if federal legislator; this is a separate option from CETG-VII, which then cannot be filled.",direct,,Include actual Minister of State extraordinary spell; CETG title alone excluded.,opened_or_indexed_primary_source
OFF-032,Onyx2018,Official Chamber diary records Onyx request for leave effective2018-11-05 to exercise Minister of State Extraordinário office.,2018-11-05,https://imagem.camara.gov.br/Imagem/d/pdf/DCD0020181106001810000.PDF,DCD06.11.2018p20,Câmara dos Deputados,2018-11-06,2026-09-10,p20 Presidência/SGM Ofício220/2018,Official Chamber diary records Onyx request for leave effective2018-11-05 to exercise Minister of State Extraordinário office.,direct,,,opened_or_indexed_primary_source
OFF-033,Onyx2018 service,"Onyx signs administrative appointment as Minister of State Extraordinary transition coordinator December11, citing November1 appointment decree.",2018-12-11,https://pesquisa.in.gov.br/imprensa/servlet/INPDFViewer?captchafield=firstAccess&data=12%2F12%2F2018&jornal=529&pagina=1,DOU12.12.2018Seção2p1,Imprensa Nacional,2018-12-12,2026-09-10,Portaria45/2018; Coordenação da equipe de transição,"Onyx signs administrative appointment as Minister of State Extraordinary transition coordinator December11, citing November1 appointment decree.",direct,,"Direct exercise confirms actual service, not announcement-only.",opened_or_indexed_primary_source
OFF-034,Alckmin2022,"TCU analysis distinguishes Alckmin CETG from statutory extraordinary minister: not a federal legislator, but equivalent hierarchy for admissibility of that consultation.",2022-11/2022-12,https://pesquisa.apps.tcu.gov.br/documento/acordao-completo/Ac%25C3%25B3rd%25C3%25A3o%2520169%252F2021%2520Plen%25C3%25A1rio/%2520%2520%2520/DTRELEVANCIA%2520desc%252C%2520NUMACORDAOINT%2520desc/2,,Tribunal de Contas da União,,2026-09-10,Passage beginning Apesar de entender que o consulente; consultation by Alckmin on Lei13.303art17,"TCU analysis distinguishes Alckmin CETG from statutory extraordinary minister: not a federal legislator, but equivalent hierarchy for admissibility of that consultation.",direct,,Exclude CETG under legal Minister of State criterion; contextual consultation standing is not general cabinet status.,Indexed official text; exact acórdão identifier not resolved
OFF-035,Lula2023 office universe,"MP1154 enumerates ordinary ministries and presidential chiefs with Minister of State status including Secom, SRI, SG, Casa Civil, GSI and AGU.",2023-01-01/2023-06-20,https://www.planalto.gov.br/ccivil_03/_ato2023-2026/2023/mpv/mpv1154.htm,MP1154/2023,Presidência da República,2023-01-01,2026-09-10,Arts17-18; commencement; converted Lei14.600/2023,"MP1154 enumerates ordinary ministries and presidential chiefs with Minister of State status including Secom, SRI, SG, Casa Civil, GSI and AGU.",direct,,,opened_or_indexed_primary_source
OFF-036,Empreendedorismo office,"MP1187 creates ministry and Minister of State cargo, effective extra-edition publicationSeptember13.",2023-09-13,https://www.planalto.gov.br/ccivil_03/_ato2023-2026/2023/mpv/mpv1187.htm,MP1187/2023,Presidência da República,2023-09-13,2026-09-10,"Arts2,3,6; footer","MP1187 creates ministry and Minister of State cargo, effective extra-edition publicationSeptember13.",direct,,,opened_or_indexed_primary_source
OFF-037,RS reconstruction office,"MP1220 creates extraordinary secretariat and named Minister of State post, effectiveMay15; statutory expiry formula is not itself September10/12.",2024-05-15,https://www.planalto.gov.br/ccivil_03/_ato2023-2026/2024/mpv/mpv1220.htm,MP1220/2024,Presidência da República,2024-05-15,2026-09-10,"Arts1,3IIa,5,6; footer","MP1220 creates extraordinary secretariat and named Minister of State post, effectiveMay15; statutory expiry formula is not itself September10/12.",direct,,,opened_or_indexed_primary_source
OFF-038,RS successor office,Decreto12169 reorganizes Casa Civil and creates subordinate temporary reconstruction support secretariat; effective clauses must distinguish administrative reorganization from MP ministerial cargo expiry.,2024-09,https://www.planalto.gov.br/ccivil_03/_ato2023-2026/2024/decreto/d12169.htm,Decreto12.169/2024,Presidência da República,2024-09-10,2026-09-10,Art11 and commencement clause,Decreto12169 reorganizes Casa Civil and creates subordinate temporary reconstruction support secretariat; effective clauses must distinguish administrative reorganization from MP ministerial cargo expiry.,direct,,Emanuel Hassen subordinate CCE1.17 is excluded; record exact ministerial cargo termination from MP expiry/act.,opened_or_indexed_primary_source
OFF-039,Pimenta return,September12 DOU mirror records Pimenta appointment to Secom and Hassen appointment as temporary CCE1.17 reconstruction secretary.,2024-09-12,https://www.escavador.com/diarios/5963538/DOU/secao-2/2024-09-12,DOU12.09.2024Seção2p1,Imprensa Nacional via Escavador,2024-09-12,2026-09-10,Seção2p1; appointments,September12 DOU mirror records Pimenta appointment to Secom and Hassen appointment as temporary CCE1.17 reconstruction secretary.,direct,,"Split Secom into two spells; end Portela acting at effective return, pending service confirmation.",Indexed document mirror
OFF-040,Pimenta/Portela RS end,"Prior Casa Civil account says September12 expiry/return, versus pinnedSeptember10; current official page is temporarily disabled due election rules.",2024-09-10/2024-09-12,https://agenciagov.ebc.com.br/noticias/202409/secretaria-da-reconstrucao-rio-grande-sul-casa-civil,,Casa Civil/Agência Gov,2024-09-10,2026-09-10,Prior audit deferred Lula; current availability notice,"Prior Casa Civil account says September12 expiry/return, versus pinnedSeptember10; current official page is temporarily disabled due election rules.",reused_prior_documentary_finding,,September12 return corroborated elsewhere; independently pin expiry act before treating office end certified.,Temporarily unavailable; electoral-period notice
OFF-041,Celso Sabino,"Chamber diary explicitly states July18 taking-office date, communication receivedJuly21; August3 ceremony cannot replace actual service.",2023-07-18,https://imagem.camara.gov.br/Imagem/d/pdf/DCD0020230722001330000.PDF,DCD22.07.2023,Câmara dos Deputados,2023-07-22,2026-09-10,Presidência/SGM Celso Sabino leave entry,"Chamber diary explicitly states July18 taking-office date, communication receivedJuly21; August3 ceremony cannot replace actual service.",direct,,ProposeJuly18 service start; ceremony retained separately.,Direct PDF open failed; official indexed passage rechecked
OFF-042,Macaé Evaristo,Official presidency account distinguishes September27 ceremony from performance of duties sinceSeptember11.,2024-09-11,https://agenciagov.ebc.com.br/noticias/202409/presidente-empossa-nova-ministra-de-direitos-humanos-e-da-cidadania-macae-evaristo,,Presidência da República/Agência Gov,2024-09-27,2026-09-10,Opening two paragraphs,Official presidency account distinguishes September27 ceremony from performance of duties sinceSeptember11.,direct,,"ProposeSeptember11 effective entry; Esther interim ends then, notSeptember27.",Official indexed passage rechecked
OFF-043,Sidônio Palmeira,Public term-of-office ceremony occursJanuary14; same-day DOU appoints Sidônio and dismisses Pimenta. January7 source start is announcement.,2025-01-14,https://www.gov.br/mds/pt-br/noticias-e-conteudos/desenvolvimento-social/noticias-desenvolvimento-social/em-cerimonia-de-posse-ministro-sidonio-palmeira-defende-combate-as-fake-news/,,Ministério do Desenvolvimento e Assistência Social,2025-01-14,2026-09-10,Opening ceremony paragraph; priorDOU607005543,Public term-of-office ceremony occursJanuary14; same-day DOU appoints Sidônio and dismisses Pimenta. January7 source start is announcement.,direct,,ProposeJanuary14 service boundary; retain January7 announcement event.,opened_or_indexed_primary_source
OFF-044,Dario; Haddad,Decrees signedMarch19 are in March20 DOU; Dario appointed and Haddad dismissed.,2026-03-20,https://static.poder360.com.br/2026/03/Lula-exonera-Haddad-DOU-19-mar-2026.pdf,DOU20.03.2026Seção2p1,Imprensa Nacional via Poder360,2026-03-20,2026-09-10,Seção2p1 masthead and Fazenda decrees,Decrees signedMarch19 are in March20 DOU; Dario appointed and Haddad dismissed.,direct,,Do not interpret signing date as automatic service start.,opened_or_indexed_primary_source
OFF-045,Dario actual entry,Contemporary report explicitly says Durigan took office morningMarch20.,2026-03-20,https://www.jornaldocomercio.com/economia/2026/03/1241617-novo-ministro-durigan-diz-que-trabalho-na-fazenda-sera-de-continuidade-da-gestao-haddad.html,,Jornal do Comércio,2026-03-20,2026-09-10,Opening paragraphs,Contemporary report explicitly says Durigan took office morningMarch20.,direct,,"Exclude Dario from qualifying officeholding throughMarch19 cutoff; retain out-of-scope event. Haddad end follows effective act, not announcement.",opened_or_indexed_primary_source
OFF-046,Wellington2026,Prior official ceremony account datesJanuary15; prior evidence also reports signing aJanuary14 act as minister.,2026-01-13/2026-01-15,https://agenciagov.ebc.com.br/noticias/202601/presidente-lula-empossa-novo-ministro-da-justica-e-seguranca-publica-wellington-cesar-lima-e-silva,,Presidência da República/Agência Gov,2026-01-15,2026-09-10,Prior deferred Lula evidence; current access notice,Prior official ceremony account datesJanuary15; prior evidence also reports signing aJanuary14 act as minister.,reused_prior_documentary_finding,,"Retain bounded start; inspect signed term, management roster and January14 act. No blanketJanuary15 override.",Official page temporarily unavailable
OFF-047,Lula Casa Civil2016,Contemporary report records Lula signing termMarch17 and Wagner/Mauro/Eugênio ceremony same day; suspension legal history must be resolved separately.,2016-03-17,https://www.correio24horas.com.br/brasil/sob-protestos-ex-presidente-lula-toma-posse-como-ministro-da-casa-civil-0316,,Correio,2016-03-17,2026-09-10,Opening ceremony paragraph,Contemporary report records Lula signing termMarch17 and Wagner/Mauro/Eugênio ceremony same day; suspension legal history must be resolved separately.,direct,,Retain entry/contestation events; do not delete whole candidate solely for suspension wording; actual legally effective service duration unresolved.,opened_or_indexed_primary_source
OFF-048,Communications ministry2020,"MP980 creates Communications ministry from previous science/communications structure; exact cargo change is June10 extra edition, prior Fábio service startsJune17.",2020-06-10,https://www.planalto.gov.br/ccivil_03/_ato2019-2022/2020/mpv/mpv980.htm,MP980/2020,Presidência da República,2020-06-10,2026-09-10,Creation/cargo transformation articles,"MP980 creates Communications ministry from previous science/communications structure; exact cargo change is June10 extra edition, prior Fábio service startsJune17.",direct,,,official_full_text_opened2026-09-10
OFF-049,Marcos Jorge,Contemporaneous ministerial ceremony roster identifies Marcos Jorge as PRB while taking titular office April10; prior acting service is separate capacity.,2018-04-10,https://noticias.uol.com.br/politica/ultimas-noticias/2018/04/10/temer-da-posse-a-novos-ministros.htm,,UOL,2018-04-10,2026-09-10,Roster of ministers taking office; Marcos Jorge entry,Marcos Jorge listed as PRB in April10 ministerial ceremony roster.,direct,Source organizations sometimes conflate party sponsorship; further party registry supports this case.,PRB witness on observed date; extend only under persistence and change search.,contemporaneous_indexed_text
OFF-050,PRB; Marcos Jorge,Party organizational roster updated May2018 lists Marcos Jorge as its one minister.,2018-05,https://republicanos10.org.br/wp-content/uploads/dlm_uploads/2015/09/quadro-prb-hoje-com-dados-eleicoes-2016-3.pdf,PRB organizational roster updatedMay2018,PRB/Republicanos,2018-05,2026-09-10,Ministro1 Marcos Jorge; AtualizadoemMaio2018,"The party lists one serving minister, Marcos Jorge, in its May2018 organizational inventory.",direct,,Direct contemporaneous party recognition; no claim full tenure verified.,contemporaneous_indexed_text
OFF-051,André Mendonça AGU; Anderson Torres Justice,"Preserved prior audit cites Reuters reporting closed swearing-in ceremonies for Torres and Mendonça on March30,2021; this does not itself establish the exact legal effect of March29 appointment acts.",2021-03-29/2021-03-30,https://economia.uol.com.br/noticias/reuters/2021/03/30/anderson-torres-toma-posse-na-justica-e-mendonca-reassume-agu-em-cerimonias-fechadas.amp.htm,Reuters30.03.2021; preserved diagnostic Deferred Bolsonaro,Reuters/UOL,2021-03-30,2026-09-10,Headline and prior preserved audit deferred Bolsonaro table,Torres took office in Justice and Mendonça returned to AGU in closed ceremonies reportedMarch30.,reused_prior_documentary_finding,Pinned Mendonça dateMarch20; Torres dateMarch29.,March20 lacks this support; inspect actual legal service terms instead of automatically preferring ceremony date.,Not freshly opened; exact source and finding reused from prior preserved diagnostic
