discrepancy_id,person,office,party,affected_interval,source_record_ids,existing_assignment,proposed_contemporaneous_treatment,evidence_ids,composition_effect,problem_type,unresolved_evidence_or_decision,coverage_start,coverage_end_exclusive,composition_completeness
OCC-013,Roberto Campos Neto,Presidência Banco Central,,2019-02-28/2021-02-25,jair_bolsonaro:0:23,Excluded from Bolsonaro inventory despite a pinned source row.,Include service while Minister of State status lasts; exclude the presidency after LC179 takes effect.,OFF-019;OFF-020;OFF-021;OFF-022,Unknown historical affiliation can add a party; status loss may end representation.,office_scope;occupancy,Affiliation evidence at entry and throughout qualifying service under persistence rules.,2015-01-01,2026-03-20,not_certified
OCC-014,Alexandre Tombini,Presidência Banco Central,,2016-05-12/2016-06-09,dilma_rousseff:1:11,Dilma row is clipped on May 11; Temer source begins with Ilan on June 9.,Carry the incumbent across the administration boundary until actual effective departure.,OFF-021,Unresolved affiliation continuity; administrative clipping cannot prove a vacancy.,occupancy,Effective end semantics and affiliation continuity.,2015-01-01,2026-03-20,not_certified
OCC-015,Ilan Goldfajn,Presidência Banco Central,,2019-01-01/2019-02-28,michel_temer:0:4,"Temer source runs into February 2019 but active slice ends December 31, 2018.",Preserve uninterrupted BCB service across the administration reporting boundary.,OFF-019;OFF-021;OFF-022,Unresolved historical affiliation; clipping cannot prove vacancy.,occupancy,Reconcile gallery publication-date convention with successor possession February 28.,2015-01-01,2026-03-20,not_certified
OCC-016,Antonio Paulo Vogel,Educação,,2020-06-20/2020-07-16,jair_bolsonaro:0:42,Dropped because start field contains malformed multiple dates.,Add evidenced vacancy acting service; Decotelli non-entry does not automatically interrupt it.,OFF-029;OFF-030,Unknown affiliation and uncertain service boundaries can affect composition.,occupancy;date_semantics,Responsibility roster and service acts from Weintraub departure to Milton entry.,2015-01-01,2026-03-20,not_certified
OCC-017,Wellington César Lima e Silva,Justiça,,2016-03-03/2016-03-17,dilma_rousseff:1:52,Whole appointment excluded because source mentions suspension.,"Retain actual March 3 entry, then document legal restrictions and effective departure.",OFF-009;OFF-010;OFF-011,Unknown affiliation can affect the brief interval; redundancy is a separate aggregate question.,occupancy;temporal_rule,Operative judgment and dismissal act; March 14 announcement is not automatically the effective end.,2015-01-01,2026-03-20,not_certified
OCC-018,Luiz Inácio Lula da Silva,Casa Civil,PT,2016-03-17/2016-03-22,dilma_rousseff:1:14,Excluded by the non-entry/suspension treatment.,"Retain the signed term and court events; adjudicate legally effective service, including any brief span invisible to daily sampling.",OFF-047,PT is represented by other documented ministers; legal occupancy still requires accurate recording.,occupancy;temporal_rule,Judgment sequence and relief: distinguish entry followed by suspension from a void appointment without effective service.,2015-01-01,2026-03-20,not_certified
OCC-019,Jaques Wagner,Gabinete Pessoal,PT,2016-03-17/2016-05-12,,Missing office and service after his Casa Civil departure.,Add the ministerial office created March 16 and evidenced Wagner service from March 17.,OFF-008;OFF-009,PT is redundant if other qualifying PT witnesses are confirmed; no automatic new composition.,office_scope;occupancy,Effective entry and departure acts; affiliation continuity.,2015-01-01,2026-03-20,not_certified
OCC-020,Carlos Decotelli,Educação,,2020-06-25/2020-07-01,jair_bolsonaro:0:41,Included as holding office June 25 through June 30.,No officeholding spell; retain nomination and cancellation as events.,OFF-029;OFF-030,No party from Decotelli under the prior explicit nonaffiliation finding; actual vacancy occupancy remains a separate uncertainty.,occupancy,Reacquire DOU cancellation and document Vogel service instead of filling the gap by assumption.,2015-01-01,2026-03-20,not_certified
OCC-021,Flávia Arruda,Secretaria de Governo,PL,2021-03-20/2021-04-06,jair_bolsonaro:0:47,"Starts March 20, 2021.",Propose March 31 service from management record and parliamentary leave; retain appointment act March 30 and ceremony April 6 separately.,OFF-026;OFF-027;OFF-028,Possible boundary change if PL lacks another qualifying representative.,date_semantics;occupancy,Pin appointment and term; reassess if contradictory effective-service evidence emerges.,2015-01-01,2026-03-20,not_certified
OCC-022,André Mendonça; Anderson Torres,AGU; Justiça,,2021-03-20/2021-03-30,jair_bolsonaro:0:31;jair_bolsonaro:0:14,Mendonça AGU starts March 20; Torres Justice starts March 29.,March 20 is unsupported; distinguish the March 29 appointment event from reported March 30 possession.,OFF-051,Unknown affiliation and service boundary uncertainty can affect composition.,date_semantics,Recheck the preserved Reuters March 30 report and obtain appointment/service acts; not resolved by this subaudit.,2015-01-01,2026-03-20,not_certified
OCC-023,Luiz Eduardo Ramos,Segov; Casa Civil; Secretaria-Geral,,2019-06/2021-08,jair_bolsonaro:0:46;jair_bolsonaro:0:3;jair_bolsonaro:0:38,"Segov starts June 13, 2019; Casa Civil March 29, 2021; SG July 28, 2021.","Separate appointment, management period and ceremony. The 2021 roster shows Casa Civil April 1 and SG July 28.",OFF-027,Affiliation and some boundaries remain unknown; apply the primary capacity rule.,date_semantics;occupancy,"Individual terms and acts, including 2019 June 13 versus July 4; roster has an unrelated Ciro date conflict.",2015-01-01,2026-03-20,not_certified
OCC-024,Paulo Pimenta; Laércio Portela,Secom; RS reconstruction,PT; Portela unresolved,2024-05-15/2025-01-14,lula_2023_presente:2:58;lula_2023_presente:2:59;lula_2023_presente:2:61,One continuous Pimenta Secom row overlaps RS service; Portela and RS end September 10.,Split Secom before RS service and after September 12 return; record Portela as vacancy acting holder and verify RS legal office expiry separately.,OFF-037;OFF-038;OFF-039;OFF-040;OFF-043,PT has other representatives; unknown Portela affiliation can still affect composition.,occupancy;date_semantics;office_scope,"May 15 dismissal/appointment, September 12 service return, MP expiry and Portela affiliation.",2015-01-01,2026-03-20,not_certified
OCC-025,Celso Sabino,Turismo,UNIÃO,2023-07-18/2023-08-03,lula_2023_presente:2:46,Starts at the August 3 public ceremony.,"Use documented July 18, 2023 actual taking-office date and retain the later ceremony.",OFF-041,UNIÃO may already be represented; later 2025 affiliation changes are a separate task.,date_semantics,Pin the official diary file and predecessor Daniela Carneiro effective departure.,2015-01-01,2026-03-20,not_certified
OCC-026,Macaé Evaristo; Esther Dweck,Direitos Humanos,PT,2024-09-11/2024-09-27,lula_2023_presente:2:14;lula_2023_presente:2:15,Macaé starts and Esther interim ends on September 27.,Use September 11 service entry/acting end; preserve September 27 ceremony.,OFF-042,PT may be redundant; Esther also independently holds MGI.,date_semantics;occupancy,Pin appointment/management record and finish relevant affiliation histories.,2015-01-01,2026-03-20,not_certified
OCC-027,Sidônio Palmeira; Paulo Pimenta,Secom,,2025-01-07/2025-01-14,lula_2023_presente:2:58;lula_2023_presente:2:60,Sidônio starts January 7 and Pimenta ends January 8.,Use January 14 appointment and actual entry boundary; January 7 is an announcement.,OFF-043,Known January 14 nonaffiliation generates no Sidônio party; earlier source uncertainty is partly an occupancy error.,date_semantics;occupancy,Retain DOU and signed term; establish Pimenta service through effective end.,2015-01-01,2026-03-20,not_certified
OCC-028,Dario Durigan; Fernando Haddad,Fazenda,,2026-03-19/2026-03-20,lula_2023_presente:2:20;lula_2023_presente:2:21,Dario starts March 19 and is included on the cutoff.,Actual March 20 entry falls outside coverage; distinguish decree signing from publication and service.,OFF-044;OFF-045,Removes unsupported Dario occupancy on March 19; full cabinet set still not certified.,date_semantics;occupancy,Retain the out-of-scope event without extending release; establish Haddad effective end from act.,2015-01-01,2026-03-20,not_certified
OCC-029,Wellington César; Manoel Carlos,Justiça,,2026-01-13/2026-01-15,lula_2023_presente:2:27;lula_2023_presente:2:28,"Transition is placed on January 13, 2026.",Keep January 13–15 bounded uncertainty; later ceremony does not override evidence of earlier legally effective exercise.,OFF-046,Unknown affiliations or timing can change membership or an internal boundary.,date_semantics;occupancy,"Signed term, management roster, January 14 signed act and appointment publication.",2015-01-01,2026-03-20,not_certified
OCC-030,Miguel Rossetto;Nilma Gomes;Ricardo Berzoini;other reshuffled ministers,Dilma 2015 reorganizations,,2015-10-02/2015-10-05,,Obsolete office identities continue and several starts/ends use October 2.,"Cargo transformations take effect October 5 publication; service, ceremony and regimental structure changes are separate facts.",OFF-005;OFF-006;OFF-007,Possible first/last party boundaries around October 2–5; do not apply a blanket date shift.,office_scope;date_semantics,Individual terms and acts plus regimental decrees and affiliation witnesses across the boundary.,2015-01-01,2026-03-20,not_certified
OCC-031,All incumbents,All qualifying offices,,2015-01-01/2026-03-20,,The 257 selected records produce 93 inclusive overlap pairs and 28 gap pairs.,Adjudicate the 121 flags using actual half-open service; 87 same-day pairs are not proof of simultaneous representation.,OFF-002;OFF-003,"Undetermined: these are source-date diagnostics, not certified party-set changes.",date_semantics;occupancy,"Never fill gaps automatically; distinguish unknown occupancy, actual vacancy and excluded office status.",2015-01-01,2026-03-20,not_certified
OCC-032,Jorge Oliveira; Pedro Cesar Sousa,Secretaria-Geral,,2020-10-07/2020-12-31,jair_bolsonaro:0:35;jair_bolsonaro:0:36,"Jorge runs through December 31 while Pedro starts October 7, 2020.",Resolve Jorge actual departure versus announcement and Pedro temporary versus vacancy capacity before counting witnesses.,OFF-002;OFF-003,Unknown Pedro affiliation can matter; the occupancy classification is missing.,occupancy;temporal_rule,Official service/end and substitute acts; October 7 may refer to Jorge TCU nomination announcement.,2015-01-01,2026-03-20,not_certified
