case_id,person_or_issue,atlas_csv_rows,atlas_record_summary,audit_evidence_ids,proposed_treatment,composition_implication,resolution_status,additional_source
R11,Raul Jungmann,560;561;614,Temer: Defesa; minister_party=PPS; portfolio_party=PPS; 12/05/2016 to 21/05/2017 | Temer: Defesa; minister_party=PPS; portfolio_party=ind; 22/05/2017 to 27/02/2018 | Temer: Segurança Pública; minister_party=PPS; portfolio_party=ind; 27/02/2018 to 31/12/2018,AFF-004,"End PPS affiliation at the documented March 21, 2018 departure; do not treat Public Security service as PPS through December.",Likely last PPS witness after other PPS officeholders have left; verify the full witness census.,party_departure_supported; last_witness_check_needed,https://www.agazeta.com.br/es/politica/ministro-jungmann-se-desfilia-do-pps-apos-26-anos-0318
R12,Ronaldo Fonseca,610,Temer: Secretaria-Geral (mulheres e juventude); minister_party=Podemos; portfolio_party=ind; 28/05/2018 to 31/12/2018,LEG-f0e3878b0b42,"Do not automatically add Podemos on May 28, 2018. The prior audit cites the party's May 24 disaffiliation notice; the direct URL is now unavailable. Recover the notice or corroborating dated evidence.","The old PODE/PTN entry is not defensible from Atlas alone. Provisional primary treatment is no-party, contingent on verifying the cited notice.",conflict; prior_primary_source_claim_needs_recovery,https://www.podemos.org.br/podemos-desfilia-deputado-federal-ronaldo-fonseca-df/
R13,Valter Casimiro,569,"Temer: Transportes, Portos e Aviação Civil; minister_party=PR; portfolio_party=PR; 02/04/2018 to 31/12/2018",prior_evidence_assertions.csv,Atlas says PR; prior audit finds PR nomination but a later no-party roster. Do not equate nomination with membership.,"PR after April 2, 2018 remains unresolved; assess PR/no-party only if those alternatives are established as exhaustive.",affiliation_unresolved,
R14,Marcos Pontes,651;652,"Bolsonaro: Ciência, Tecnologia, Inovações e Comunicações; minister_party=PSL; portfolio_party=PSL; 01/01/2019 to 11/11/2019 | Bolsonaro: Ciência, Tecnologia, Inovações e Comunicações; minister_party=PSL; portfolio_party=ind; 12/11/2019 to 31/03/2022",AFF-012; AFF-044,"Keep PSL through its documented organizational existence, then União after February 8, 2022 and PL after March 27, 2022, subject to effective service.",Reject the 2020.5 PSL disappearance; record later organizational and personal changes separately.,early_continuity_supported; late_changes_supported; boundaries_to_integrate,
R15,Ricardo Salles,649,Bolsonaro: Meio Ambiente; minister_party=Novo; portfolio_party=ind; 01/01/2019 to 23/06/2021,AFF-020; AFF-021; AFF-022; AFF-023; AFF-054,"Do not extend NOVO automatically to June 2021. Distinguish October 2019 suspension, May 7, 2020 expulsion decision, and any appeal with suspensive effect.",NOVO's final cabinet date requires formal sanction adjudication; the 2021 appointment-time composition is not established.,atlas_long_spell_contradicted; exact_formal_exit_unresolved,https://exame.com/brasil/ricardo-salles-diz-que-foi-expulso-do-partido-novo/
R16,Rogério Marinho,645,Bolsonaro: Desenvolvimento Regional; minister_party=PSDB; portfolio_party=ind; 11/02/2020 to 31/03/2022,AFF-024; AFF-025,"PSDB at ministerial entry; departure occurred shortly before the June 19, 2020 report, with exact date unresolved; PL joining reported November 30, 2021.",No PSDB continuation through 2021 merely because he remains a minister.,change_supported; exit_day_unresolved,https://www.cnnbrasil.com.br/politica/ministro-de-bolsonaro-marinho-deixa-o-psdb/
R17,Damares Alves,662,"Bolsonaro: Mulher, Família e Direitos Humanos; minister_party=PP; portfolio_party=ind; 01/01/2019 to 31/03/2022",AFF-013; AFF-014; AFF-015; AFF-055,"PP initially; preserve uncertainty about departure between documented August 2020 status and January 2022 no-party observation, with conflicting 2020/2021 descriptions. Republicanos joining March 28, 2022 is separate.",PP is present initially and again independently through Ciro. A possible intervening gap must not be erased.,initial_party_supported; intermediate_boundary_unresolved,
R18,Tarcísio de Freitas,628,Bolsonaro: Infraestrutura; minister_party=sfp; portfolio_party=sfp; 01/01/2019 to 30/03/2022,AFF-015; AFF-016,"Do not back-project Republicanos. Record the March 28, 2022 joining while he is still minister.",Atlas's full-tenure no-party spell misses the final affiliated days.,late_switch_supported; service_boundary_to_integrate,
R19,Anderson Torres,621,Bolsonaro: Justiça e Segurança Pública; minister_party=sfp; 06/04/2021 to 31/12/2022,AFF-017; AFF-018; AFF-019,Use the direct documentary no-affiliation evidence; do not infer PSL/União from political association or later biographies.,No automatic PSL/União witness from Torres.,no_party_evidence_supported,https://www25.senado.leg.br/web/atividade/notas-taquigraficas/-/notas/r/11684
R20,Augusto Heleno / missing GSI,,,AFF-010; AFF-011,GSI's absence from Atlas cannot establish absence of a party. Use documented 2018 PRP departure; investigate conflicting later affiliation claims rather than carrying either label backward.,No automatic PATRIOTA addition; unspecified later-history uncertainty must be recorded if not resolved.,office_missing_from_atlas; temporal_conflict_unresolved,
R21,Fábio Faria,647;648,Bolsonaro: Comunicações; minister_party=PSD; portfolio_party=ind; 17/06/2020 to 23/03/2022 | Bolsonaro: Comunicações; minister_party=PP; portfolio_party=PP; 24/03/2022 to 21/12/2022,AFF-026,"Accept the supported PSD-to-PP split on March 24, 2022.",Possible PSD gap until Marcos Montes's March 31 entry; test other witnesses.,atlas_split_corroborated,https://progressistas.org.br/noticias-progressistas/fabio-faria-e-neucimar-fraga-chegam-para-fortalecer-o-progressistas/
R22,Flávia Arruda,671,Bolsonaro: Governo; minister_party=PL; portfolio_party=PL; 06/04/2021 to 31/03/2022,OFF-026; OFF-027; OFF-028,"Use March 31, 2021 as supported effective entry, not the disputed March 20 or the April 6 public ceremony.","Dates PL representation correctly, subject to other PL witnesses.",entry_resolved_by_official_records,https://www.camara.leg.br/deputados/204354/biografia
R23,João Roma,656,Bolsonaro: Cidadania e Ação Social; minister_party=REP; portfolio_party=REP; 12/02/2021 to 31/03/2022,AFF-012,"Republicanos during early tenure; PL from March 27, 2022.",Possible one-day Republicanos gap before Damares/Tarcísio join March 28; examine all witnesses and capacity.,switch_supported; aggregate_gap_not_certified,
R24,Gilson Machado,660,Bolsonaro: Turismo; minister_party=sfp; portfolio_party=sfp; 09/12/2020 to 31/03/2022,AFF-032; prior_evidence_assertions.csv,"Use PSC initially and PL from March 30, 2022, intersected with actual ministerial service.",PSC can disappear before office exit because the minister changes party.,party_change_supported; effective_service_to_integrate,
R25,Marcos Montes / Cristiane Britto,631;663,"Bolsonaro: Agricultura; minister_party=PSD; portfolio_party=ind; 31/03/2022 to 31/12/2022 | Bolsonaro: Mulher, Família e Direitos Humanos; minister_party=REP; portfolio_party=REP; 31/03/2022 to 31/12/2022",prior_evidence_assertions.csv,"Use PSD and Republicanos respectively, subject to effective incoming dates.",These ministers supply late-2022 witnesses; do not infer permanent party disappearance solely from outgoing ministers.,party_supported; boundary_day_requires_integration,
R26,Adolfo Sachsida,643,Bolsonaro: Minas e Energia; minister_party=sfp; portfolio_party=sfp; 11/05/2022 to 31/12/2022,affiliation_audit/affiliation_findings.md; prior_evidence_assertions.csv,Atlas says no-party but 2017 DEM affiliation and unverified subsequent continuity conflict. Do not silently select no-party.,"Possible União representation from May 11, 2022; finite alternatives themselves require justification.",affiliation_unresolved,
R27,Celso Sabino,698,Lula 3: Turismo; minister_party=União; portfolio_party=União; 14/07/2023 to blank,AFF-034; AFF-035; AFF-036; OFF-041,"Actual entry supported from July 18, 2023. Distinguish October suspension, November recommendation, December 8, 2025 membership cancellation, and later office departure.","Proposed final União departure is December 8, not the old December 24, conditional on no other personally affiliated minister.",dated_cancellation_supported_in_audit; last_witness_check_required,https://agenciabrasil.ebc.com.br/politica/noticia/2025-12/uniao-brasil-decide-expulsar-ministro-celso-sabino-da-legenda
R28,Waldez Góes / Frederico Siqueira / Gustavo Feliciano,686,Lula 3: Integração Nacional e Desenvolvimento Regional; minister_party=PDT; portfolio_party=União; 01/01/2023 to blank,AFF-038; prior_evidence_assertions.csv,Separate personal affiliation from União sponsorship. Audit supports PDT for Waldez and no-party at entry for Frederico and Gustavo; verify relevant continuities.,A União-nominated portfolio does not necessarily retain União membership after Sabino's expulsion.,personal_party_not_sponsorship; continuity_review_needed,
R29,Lula III coverage / Amaro,,,"MAIN_AUDIT_REPORT.md sections 3,6; prior_evidence_assertions.csv","Atlas's last recorded change is September 13, 2023; 34 of 37 Lula rows have blank exits. Do not extrapolate blank exits to 2026 or use an omitted GSI row as no-party evidence.","Atlas corroborates early memberships and the September expansion, but cannot certify the whole 2023–2026 composition.",coverage_limit,
R30,Onyx 2018 transition / actual service interruptions,,,OFF-031–OFF-034,Store incoming transition service separately from the outgoing government's cabinet. Audit Chamber returns and legally effective dismissal/reappointment rather than treating all temporary interruptions as retained title.,Avoid adding incoming-government parties to outgoing Temer and avoid smoothing genuine party absences.,scope_recommendation; service_events_require_adjudication,https://www.camara.leg.br/deputados/74399/biografia
